time,peripheral.identifier,peripheral.timestamp,peripheral.rssi,peripheral.txPower,remote.attitude.roll,remote.attitude.pitch,remote.attitude.yaw,brightness,battery.state,battery.level,attitude.roll,attitude.pitch,attitude.yaw
1591112763076.602,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805563074.144,-81,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.130,1.550,2.198
1591112764287.704,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805564284.9299,-86,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.548,1.544,1.771
1591112765496.779,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805565493.504,-85,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.327,1.537,1.991
1591112766691.762,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805566690.1799,-95,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.408,1.525,1.873
1591112767882.812,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805567881.3209,-80,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.742,1.532,1.569
1591112769080.833,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805569077.2329,-84,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,1.111,1.537,1.197
1591112770268.749,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805570265.242,-91,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,1.219,1.538,1.047
