time,peripheral.identifier,peripheral.timestamp,peripheral.rssi,peripheral.txPower,remote.attitude.roll,remote.attitude.pitch,remote.attitude.yaw,brightness,battery.state,battery.level,attitude.roll,attitude.pitch,attitude.yaw
1591112416405.4412,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805216401.876,-67,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.050,1.454,2.455
1591112416535.441,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805216533.621,-79,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.037,1.451,2.469
1591112416671.0051,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805216665.676,-73,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.031,1.465,2.476
1591112417064.961,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805217062.369,-78,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.099,1.467,2.409
1591112417195.581,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805217193.001,-74,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.093,1.467,2.406
1591112417329.3882,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805217326.743,-68,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.121,1.474,2.377
1591112417600.1038,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805217597.449,-74,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.092,1.488,2.403
1591112417735.6418,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805217733.026,-70,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.015,1.479,2.467
1591112418136.097,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805218133.609,-75,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,-0.038,1.458,2.510
1591112418401.7283,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805218399.172,-68,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.015,1.450,2.453
1591112418802.103,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805218799.208,-70,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.036,1.459,2.438
1591112418934.309,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805218931.7941,-68,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.029,1.458,2.449
1591112419335.6218,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805219332.962,-70,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.121,1.473,2.356
1591112419600.2468,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805219597.389,-71,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.110,1.479,2.368
1591112419995.541,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805219992.965,-69,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.109,1.482,2.368
1591112420143.889,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805220124.889,-71,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.104,1.493,2.381
1591112420263.094,66B23618-9B7B-6C0B-7200-78CA9E391D10,612805220260.4541,-72,1,0.060,0.492,-0.170,0.43775105,unplugged,0.95,0.065,1.509,2.419
