time,peripheral.identifier,peripheral.timestamp,peripheral.rssi,peripheral.txPower,remote.attitude.roll,remote.attitude.pitch,remote.attitude.yaw,brightness,battery.state,battery.level,attitude.roll,attitude.pitch,attitude.yaw
1591292259376.549,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985059374.6361,-65,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,-0.029,1.189,-1.465
1591292259513.164,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985059511.229,-70,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.011,1.188,-1.503
1591292259646.6729,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985059645.009,-72,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.031,1.205,-1.526
1591292259908.815,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985059906.735,-60,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.042,1.222,-1.544
1591292260444.9949,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985060443.261,-57,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.089,1.277,-1.579
1591292260578.7092,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985060577.046,-65,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.054,1.261,-1.557
1591292260976.2412,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985060974.447,-60,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.109,1.272,-1.589
1591292261107.551,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985061105.791,-69,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.117,1.272,-1.596
1591292261238.4792,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985061236.505,-62,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.124,1.273,-1.608
1591292261641.274,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985061639.484,-67,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.127,1.298,-1.621
1591292261774.009,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985061772.069,-63,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.131,1.301,-1.630
1591292262168.8728,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985062167.069,-71,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.123,1.297,-1.645
1591292262299.367,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985062297.889,-64,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.121,1.292,-1.644
1591292262435.7031,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985062434.105,-62,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.148,1.300,-1.671
1591292262838.249,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985062836.573,-65,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.108,1.300,-1.646
1591292262970.8792,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985062969.1791,-64,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.136,1.306,-1.673
1591292263370.332,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985063368.672,-64,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.178,1.306,-1.697
1591292263642.0522,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985063640.35,-72,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.181,1.314,-1.691
1591292263909.354,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985063908.4349,-65,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.172,1.346,-1.675
1591292264040.743,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985064038.753,-67,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.132,1.339,-1.629
1591292264177.173,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985064175.428,-73,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.112,1.340,-1.608
1591292264577.429,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985064575.706,-63,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.099,1.319,-1.608
1591292264708.678,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985064707.0591,-75,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.097,1.317,-1.610
1591292265113.158,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985065111.5399,-74,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.101,1.310,-1.617
1591292265244.89,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985065243.277,-68,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.080,1.312,-1.601
1591292265376.555,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985065374.5349,-66,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.113,1.310,-1.636
1591292265772.059,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985065770.267,-68,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.092,1.305,-1.619
1591292265902.644,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985065901.818,-63,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.106,1.300,-1.638
1591292266440.329,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985066438.583,-65,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.101,1.293,-1.627
1591292266976.5261,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985066974.8309,-67,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.070,1.291,-1.603
1591292267109.8389,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985067108.022,-71,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.077,1.293,-1.613
1591292267508.796,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985067507.036,-71,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.069,1.283,-1.611
1591292267641.482,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985067640.6029,-71,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.060,1.283,-1.605
1591292268178.195,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985068176.559,-73,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.020,1.269,-1.574
1591292268314.133,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985068312.3619,-68,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.044,1.271,-1.594
1591292268713.358,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985068711.567,-71,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.037,1.264,-1.590
1591292268976.038,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985068974.344,-64,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.022,1.284,-1.578
1591292269375.356,AF0745C0-5A1E-B104-A7D6-7B6BC49058D6,612985069373.6481,-65,1,-0.141,0.694,-0.490,0.45099157,unplugged,0.3,0.060,1.277,-1.597
