time,peripheral.identifier,peripheral.timestamp,peripheral.rssi,peripheral.txPower,remote.attitude.roll,remote.attitude.pitch,remote.attitude.yaw,brightness,battery.state,battery.level,attitude.roll,attitude.pitch,attitude.yaw
1591116943075.9429,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612809743073.13,-70,7,0.105,0.360,0.360,1.0,unplugged,0.81,-0.080,0.451,-1.091
1591116943077.6511,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612809743073.5641,-69,7,0.105,0.360,0.360,1.0,unplugged,0.81,-0.080,0.451,-1.091
1591116943112.674,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612809743111.14,-88,7,0.105,0.360,0.360,1.0,unplugged,0.81,-0.074,0.443,-1.093
1591116943113.654,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612809743111.744,-87,7,0.105,0.360,0.360,1.0,unplugged,0.81,-0.074,0.443,-1.093
1591116943157.047,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612809743148.315,-66,7,0.105,0.360,0.360,1.0,unplugged,0.81,-0.088,0.449,-1.084
1591116943160.155,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612809743148.903,-66,7,0.105,0.360,0.360,1.0,unplugged,0.81,-0.088,0.449,-1.084
1591116943190.218,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612809743184.301,-72,7,0.105,0.360,0.360,1.0,unplugged,0.81,-0.093,0.454,-1.079
1591116943191.3591,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612809743184.81,-72,7,0.105,0.360,0.360,1.0,unplugged,0.81,-0.093,0.454,-1.079
1591116943266.39,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612809743263.0641,-73,7,0.105,0.360,0.360,1.0,unplugged,0.81,-0.093,0.462,-1.080
1591116943267.8062,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612809743263.64,-73,7,0.105,0.360,0.360,1.0,unplugged,0.81,-0.093,0.462,-1.080
1591116943297.916,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612809743296.1951,-84,7,0.105,0.360,0.360,1.0,unplugged,0.81,-0.092,0.465,-1.084
1591116943298.729,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612809743296.767,-83,7,0.105,0.360,0.360,1.0,unplugged,0.81,-0.092,0.465,-1.084
1591116943330.2961,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612809743328.1849,-66,7,0.105,0.360,0.360,1.0,unplugged,0.81,-0.088,0.462,-1.090
1591116943331.125,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612809743328.802,-66,7,0.105,0.360,0.360,1.0,unplugged,0.81,-0.088,0.462,-1.090
1591116943366.101,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612809743364.1649,-73,7,0.105,0.360,0.360,1.0,unplugged,0.81,-0.090,0.467,-1.087
1591116943366.838,FF455C39-1B83-AA8C-0CBE-1B9C7786CCFA,612809743364.818,-73,7,0.105,0.360,0.360,1.0,unplugged,0.81,-0.090,0.467,-1.087
