time,peripheral.identifier,peripheral.timestamp,peripheral.rssi,peripheral.txPower,remote.attitude.roll,remote.attitude.pitch,remote.attitude.yaw,brightness,battery.state,battery.level,attitude.roll,attitude.pitch,attitude.yaw
1591115820935.4702,0DA78762-F235-4794-7768-777AB11C6CFF,612808620933.0339,-83,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.231,1.493,-2.180
1591115820936.598,0DA78762-F235-4794-7768-777AB11C6CFF,612808620934.206,-83,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.231,1.493,-2.180
1591115821250.1577,0DA78762-F235-4794-7768-777AB11C6CFF,612808621248.18,-76,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.336,1.502,-2.285
1591115821537.4807,0DA78762-F235-4794-7768-777AB11C6CFF,612808621535.269,-69,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.628,1.493,-2.594
1591115821538.763,0DA78762-F235-4794-7768-777AB11C6CFF,612808621536.2411,-69,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.628,1.493,-2.594
1591115821570.056,0DA78762-F235-4794-7768-777AB11C6CFF,612808621568.047,-80,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.671,1.496,-2.641
1591115821824.866,0DA78762-F235-4794-7768-777AB11C6CFF,612808621822.837,-65,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.610,1.486,-2.580
1591115821856.364,0DA78762-F235-4794-7768-777AB11C6CFF,612808621854.188,-66,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.629,1.484,-2.599
1591115821857.261,0DA78762-F235-4794-7768-777AB11C6CFF,612808621855.7009,-67,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.629,1.484,-2.599
1591115822146.945,0DA78762-F235-4794-7768-777AB11C6CFF,612808622144.911,-67,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.557,1.485,-2.503
1591115822147.9102,0DA78762-F235-4794-7768-777AB11C6CFF,612808622146.399,-67,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.557,1.485,-2.503
1591115822441.782,0DA78762-F235-4794-7768-777AB11C6CFF,612808622439.553,-72,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.487,1.493,-2.438
1591115822442.4583,0DA78762-F235-4794-7768-777AB11C6CFF,612808622439.6221,-72,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.487,1.493,-2.438
1591115822470.386,0DA78762-F235-4794-7768-777AB11C6CFF,612808622468.3501,-72,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.457,1.491,-2.413
1591115822854.6099,0DA78762-F235-4794-7768-777AB11C6CFF,612808622852.619,-79,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.415,1.497,-2.371
1591115822855.314,0DA78762-F235-4794-7768-777AB11C6CFF,612808622852.666,-79,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.415,1.497,-2.371
1591115822883.6008,0DA78762-F235-4794-7768-777AB11C6CFF,612808622881.682,-80,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.404,1.497,-2.360
1591115822884.374,0DA78762-F235-4794-7768-777AB11C6CFF,612808622882.762,-69,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.404,1.497,-2.360
1591115823140.9531,0DA78762-F235-4794-7768-777AB11C6CFF,612808623138.6699,-68,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.499,1.498,-2.447
1591115823141.825,0DA78762-F235-4794-7768-777AB11C6CFF,612808623139.732,-68,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.499,1.498,-2.447
1591115823174.345,0DA78762-F235-4794-7768-777AB11C6CFF,612808623172.389,-68,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.495,1.496,-2.445
1591115823175.281,0DA78762-F235-4794-7768-777AB11C6CFF,612808623173.888,-68,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.495,1.496,-2.445
1591115823437.769,0DA78762-F235-4794-7768-777AB11C6CFF,612808623435.628,-70,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.678,1.519,-2.621
1591115823471.8818,0DA78762-F235-4794-7768-777AB11C6CFF,612808623469.8251,-71,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.626,1.526,-2.578
1591115823472.973,0DA78762-F235-4794-7768-777AB11C6CFF,612808623469.8711,-72,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.626,1.526,-2.568
1591115823727.714,0DA78762-F235-4794-7768-777AB11C6CFF,612808623725.4619,-64,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.778,1.522,-2.713
1591115823757.7668,0DA78762-F235-4794-7768-777AB11C6CFF,612808623755.4819,-65,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.783,1.522,-2.718
1591115823758.3972,0DA78762-F235-4794-7768-777AB11C6CFF,612808623756.506,-65,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.783,1.522,-2.718
1591115823788.049,0DA78762-F235-4794-7768-777AB11C6CFF,612808623786.246,-71,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.813,1.521,-2.748
1591115824078.327,0DA78762-F235-4794-7768-777AB11C6CFF,612808624076.273,-67,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.847,1.519,-2.785
1591115824079.323,0DA78762-F235-4794-7768-777AB11C6CFF,612808624077.77,-67,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.847,1.519,-2.785
1591115824362.5532,0DA78762-F235-4794-7768-777AB11C6CFF,612808624360.538,-71,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.677,1.519,-2.621
1591115824363.2168,0DA78762-F235-4794-7768-777AB11C6CFF,612808624361.9819,-71,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.677,1.519,-2.621
1591115824393.8542,0DA78762-F235-4794-7768-777AB11C6CFF,612808624391.663,-74,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.700,1.518,-2.644
1591115824394.542,0DA78762-F235-4794-7768-777AB11C6CFF,612808624391.714,-74,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.724,1.518,-2.667
1591115824640.5571,0DA78762-F235-4794-7768-777AB11C6CFF,612808624638.051,-69,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.455,1.514,-2.412
1591115824641.1309,0DA78762-F235-4794-7768-777AB11C6CFF,612808624639.036,-69,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.455,1.514,-2.412
1591115824671.4048,0DA78762-F235-4794-7768-777AB11C6CFF,612808624668.875,-69,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.417,1.515,-2.376
1591115824672.022,0DA78762-F235-4794-7768-777AB11C6CFF,612808624668.918,-69,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.417,1.515,-2.376
1591115824951.599,0DA78762-F235-4794-7768-777AB11C6CFF,612808624949.421,-70,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.457,1.519,-2.415
1591115824952.219,0DA78762-F235-4794-7768-777AB11C6CFF,612808624949.476,-70,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.457,1.519,-2.415
1591115824981.764,0DA78762-F235-4794-7768-777AB11C6CFF,612808624979.764,-70,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.408,1.518,-2.365
1591115824982.57,0DA78762-F235-4794-7768-777AB11C6CFF,612808624979.818,-70,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.408,1.518,-2.365
1591115825242.89,0DA78762-F235-4794-7768-777AB11C6CFF,612808625240.485,-71,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.519,1.520,-2.475
1591115825243.458,0DA78762-F235-4794-7768-777AB11C6CFF,612808625240.537,-71,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.519,1.520,-2.475
1591115825530.234,0DA78762-F235-4794-7768-777AB11C6CFF,612808625528.0,-68,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.374,1.516,-2.329
1591115825530.947,0DA78762-F235-4794-7768-777AB11C6CFF,612808625529.5499,-68,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.374,1.516,-2.329
1591115825828.434,0DA78762-F235-4794-7768-777AB11C6CFF,612808625826.2319,-68,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.465,1.513,-2.421
1591115825829.366,0DA78762-F235-4794-7768-777AB11C6CFF,612808625827.844,-68,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.465,1.513,-2.421
1591115825863.4082,0DA78762-F235-4794-7768-777AB11C6CFF,612808625861.296,-69,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.479,1.513,-2.435
1591115825864.425,0DA78762-F235-4794-7768-777AB11C6CFF,612808625862.279,-69,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.479,1.513,-2.435
1591115826126.804,0DA78762-F235-4794-7768-777AB11C6CFF,612808626124.68,-71,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.481,1.515,-2.428
1591115826127.39,0DA78762-F235-4794-7768-777AB11C6CFF,612808626125.735,-71,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.481,1.515,-2.428
1591115826161.506,0DA78762-F235-4794-7768-777AB11C6CFF,612808626159.449,-73,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.488,1.515,-2.434
1591115826162.309,0DA78762-F235-4794-7768-777AB11C6CFF,612808626160.552,-73,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.488,1.515,-2.434
1591115826452.5251,0DA78762-F235-4794-7768-777AB11C6CFF,612808626450.401,-70,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.599,1.519,-2.547
1591115826454.0159,0DA78762-F235-4794-7768-777AB11C6CFF,612808626451.648,-70,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.612,1.519,-2.547
1591115826481.633,0DA78762-F235-4794-7768-777AB11C6CFF,612808626480.183,-70,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.626,1.524,-2.575
1591115826481.951,0DA78762-F235-4794-7768-777AB11C6CFF,612808626480.227,-70,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.626,1.524,-2.575
1591115826790.138,0DA78762-F235-4794-7768-777AB11C6CFF,612808626787.163,-71,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.541,1.524,-2.486
1591115826790.73,0DA78762-F235-4794-7768-777AB11C6CFF,612808626788.078,-71,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.541,1.524,-2.486
1591115827081.478,0DA78762-F235-4794-7768-777AB11C6CFF,612808627079.538,-76,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.507,1.522,-2.459
1591115827082.0972,0DA78762-F235-4794-7768-777AB11C6CFF,612808627080.7051,-76,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.507,1.522,-2.459
1591115827332.446,0DA78762-F235-4794-7768-777AB11C6CFF,612808627330.373,-83,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.449,1.523,-2.402
1591115827333.108,0DA78762-F235-4794-7768-777AB11C6CFF,612808627331.669,-83,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.449,1.523,-2.402
1591115827364.744,0DA78762-F235-4794-7768-777AB11C6CFF,612808627362.319,-69,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.460,1.522,-2.414
1591115827365.364,0DA78762-F235-4794-7768-777AB11C6CFF,612808627363.882,-70,12,0.328,0.617,0.617,0.828615,unplugged,0.84,0.460,1.522,-2.414
